name;email;age;salary;isActive
Luther;Luther.Becker@gmail.com;16;2420;true
Ricky;Ricky87@hotmail.com;23;1417;true
Kaylie;Kaylie.Kutch39@hotmail.com;74;8384;true
Merle;Merle.Lockman@yahoo.com;27;5883;true
Ernest;Ernest_Cartwright@gmail.com;28;7410;true
Elmer;Elmer95@hotmail.com;32;0213;true
Lindsey;Lindsey.Harber@yahoo.com;30;6208;true
Garnet;Garnet82@hotmail.com;48;9206;false
Petra;Petra.Simonis@gmail.com;13;2227;true
Daphne;Daphne71@hotmail.com;85;0352;false
Cassandra;Cassandra.Murphy@yahoo.com;83;6562;false
Reilly;Reilly69@gmail.com;20;6626;false
Dominique;Dominique_Boyer@yahoo.com;69;6474;false
Max;Max.Spencer11@gmail.com;43;1645;false
Larissa;Larissa.Crist@hotmail.com;12;4221;true
Dayna;Dayna.Lynch@yahoo.com;64;7876;true
Joaquin;Joaquin83@gmail.com;15;8150;true
Eve;Eve_Spinka@yahoo.com;33;5301;true
Vernon;Vernon52@yahoo.com;44;2354;true
Candida;Candida.Mraz@gmail.com;79;5117;false
Orval;Orval_Vandervort@yahoo.com;18;5080;false
Kailee;Kailee_Hamill28@yahoo.com;91;8208;true
Everardo;Everardo55@yahoo.com;11;6404;true
Raul;Raul_Heaney@yahoo.com;76;0216;true
Donato;Donato24@hotmail.com;20;6023;true
Earline;Earline_Schmidt@yahoo.com;74;4194;false
Keenan;Keenan_Bernier@hotmail.com;42;6531;true
Ned;Ned.Volkman40@hotmail.com;66;0782;true
Charles;Charles.Kassulke84@gmail.com;59;3906;false
Sadye;Sadye.Kuvalis86@yahoo.com;39;6221;true
Johathan;Johathan.Ratke12@gmail.com;86;7857;false
Marcella;Marcella.Klocko64@yahoo.com;96;8906;true
Shakira;Shakira33@gmail.com;66;3761;false
Weldon;Weldon88@yahoo.com;33;4545;true
Miller;Miller31@hotmail.com;16;3951;true
Griffin;Griffin_Dooley@gmail.com;93;6734;false
Chelsea;Chelsea_Rodriguez@gmail.com;30;3717;false
Henriette;Henriette.OConnell@gmail.com;87;8078;false
Nicolette;Nicolette.Spinka70@gmail.com;40;3465;false
Jan;Jan.Hagenes85@hotmail.com;71;7821;true
Jedediah;Jedediah_VonRueden91@gmail.com;17;1488;true
Meghan;Meghan_Rohan@yahoo.com;37;2632;false
Lexus;Lexus24@gmail.com;91;3978;true
Tremayne;Tremayne16@gmail.com;30;6569;false
Bettye;Bettye_McClure@yahoo.com;33;2896;false
Ralph;Ralph_Ernser@yahoo.com;21;5765;false
Sylvia;Sylvia_Parker62@gmail.com;31;6742;true
Zachariah;Zachariah70@gmail.com;59;9404;true
Floy;Floy_Buckridge84@yahoo.com;94;5201;true
Pete;Pete_Abernathy19@yahoo.com;10;1653;true
Myrtle;Myrtle4@yahoo.com;54;4756;false
Eve;Eve_Jacobson51@gmail.com;62;6148;true
Demetrius;Demetrius_Yundt8@gmail.com;71;0219;false
Sunny;Sunny.Keebler60@hotmail.com;84;7762;true
Roxanne;Roxanne_Klocko@yahoo.com;33;1547;true
Sidney;Sidney_Jenkins@hotmail.com;47;8294;false
Carlee;Carlee.Casper@hotmail.com;56;6632;true
Elva;Elva_Corwin34@hotmail.com;71;4010;false
Demarcus;Demarcus.Johnston@hotmail.com;98;0705;false
Millie;Millie_Bernhard37@yahoo.com;97;8023;true
Ottis;Ottis_Hills@gmail.com;56;9556;true
Reta;Reta37@yahoo.com;75;8496;true
Henri;Henri.Ankunding80@yahoo.com;13;1731;false
Lennie;Lennie_Fisher55@gmail.com;77;4767;true
Beaulah;Beaulah_Lueilwitz@hotmail.com;93;8189;false
Kaley;Kaley54@yahoo.com;76;0162;false
Jamar;Jamar9@hotmail.com;31;2596;false
Marielle;Marielle_Reinger57@yahoo.com;56;3569;true
Lexus;Lexus38@gmail.com;34;6018;true
Ellen;Ellen_Hettinger23@yahoo.com;25;9813;false
Garett;Garett_Nolan@yahoo.com;55;5887;true
Greg;Greg88@gmail.com;64;3610;true
Sandrine;Sandrine61@gmail.com;55;0700;false
Jarred;Jarred92@yahoo.com;94;9606;false
Conor;Conor.Hermann@yahoo.com;12;5125;true
Oliver;Oliver_Smitham@gmail.com;86;8578;true
Ima;Ima_Considine19@yahoo.com;75;6719;false
Hilma;Hilma.Dietrich@yahoo.com;17;9669;false
Russel;Russel_King@hotmail.com;65;1540;true
